Reason_for_current_course,First_interest_for_current_course,Subjects_before_university,previous_course_prepared_how_much_for_current_course,Career_prospects_Importance,Post_course_goals,Workload_assessment_method,Preferred_learning_environment,Alignment_with_career_goals,Would_you_recommend,Confident_skills,Your_strengths,Alternative_choice,satisfaction_with_current_course,Current_Course
Passion for the subject,Personal experience or hobby,Mathematics,7,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A collaborative, group-based learning experience",Extremely interested,No,Mathematical skills,Leadership skills,No,9,Mathematics
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,8,Neutral,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,No,Researching skills,Data analysis,Biology,5,Bio Chemistry
Interest in learning new skills,Researching future career opportunities,Biology,6,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Researching skills,Lab work,Medicine,4,Bio-Medical Sciences
Interest in learning new skills,Researching future career opportunities,Biology,1,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,Researching skills,Lab work,Medicine,5,Bio-Medical Sciences
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,10,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,No,technical skills,Leadership skills,No,9,Chemistry
Passion for the subject,Personal experience or hobby,Chemistry,4,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Problem-solving,Lab work,Psychology,4,Pharmacy
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Biology,5,Extremely important,Pursue further study or research in the field,I spoke with academic advisors or professors,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Lab work,No,2,Bio-Medical Sciences
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,10,Neutral,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Researching skills,Data analysis,Biology,3,Bio Chemistry
Interest in learning new skills,Researching future career opportunities,Biology,4,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,No,Researching skills,Lab work,Medicine,5,Bio-Medical Sciences
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Biology,7,Extremely important,Pursue further study or research in the field,I spoke with academic advisors or professors,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Lab work,No,8,Bio-Medical Sciences
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,1,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Leadership skills,No,6,Chemistry
Strong job prospects and career opportunities,Researching future career opportunities,Mathematics,7,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,No,Problem-solving,Data analysis,Sustainability Engineering,7,Mechanical Engineering
High earning potential after graduation,Researching future career opportunities,Chemistry,7,Somewhat important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,No,technical skills,Leadership skills,No,9,Pharmacy
Strong job prospects and career opportunities,Researching future career opportunities,Physics,6,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,Maybe,Problem-solving,Data analysis,Sustainability Engineering,2,Mechanical Engineering
Passion for the subject,Personal experience or hobby,Chemistry ,2,Somewhat important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Problem-solving,Lab work,Psychology,5,Pharmacy
Interest in learning new skills,"No clear reason, just interested in the subject",Information Technology,9,Somewhat important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Maybe,Researching skills,Data analysis,Cyber Security,8,Computer Science
Strong job prospects and career opportunities,Researching future career opportunities,Mathematics,10,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,No,Problem-solving,Data analysis,Sustainability Engineering,9,Mechanical Engineering
Passion for the subject,Inspired by a teacher or mentor,Mathematics,7,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,"A theoretical, lecture-based approach with in-depth learning",Extremely interested,No,Mathematical skills,Data analysis,Physics,8,Mathematics
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,2,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,No,Problem-solving,Ethical reasoning,No,10,Computer Science
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,7,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Leadership skills,No,7,Chemistry
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,4,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,9,Chemistry
Passion for the subject,Inspired by a teacher or mentor,Computer Science,6,Neutral,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"Self-paced, independent learning",Somewhat interested,No,technical skills,Lab work,No,9,Computer Science
High earning potential after graduation,"Exposure through media (books, TV, etc.)",Mathematics,10,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Problem-solving,Data analysis,Economics,6,Computer Science
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,5,Extremely important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Ethical reasoning,Chemistry,6,Pharmacy
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Physics,5,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Mathematical skills,Lab work,Electrical Engineering,5,Mechanical Engineering
Interest in learning new skills,"No clear reason, just interested in the subject",Chemistry,3,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Researching skills,Data analysis,Biology,1,Bio Chemistry
Strong job prospects and career opportunities,"Exposure through media (books, TV, etc.)",Software Engineering,3,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,No,technical skills,Lab work,No,10,Artificial Intelligence
Passion for the subject,Personal experience or hobby,Chemistry,5,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,No,technical skills,Lab work,Chemical Engineering,6,Chemistry
Passion for the subject,Personal experience or hobby,Mathematics,2,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A collaborative, group-based learning experience",Extremely interested,Maybe,Mathematical skills,Leadership skills,No,2,Mathematics
High earning potential after graduation,Personal experience or hobby,Physics,3,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,Yes,technical skills,Ethical reasoning,No,4,Mechanical Engineering
Interest in learning new skills,"No clear reason, just interested in the subject",Chemistry,2,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Researching skills,Data analysis,Biology,4,Bio Chemistry
Passion for the subject,Personal experience or hobby,Biology,6,Somewhat not important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Neutral,Maybe,Researching skills,Data analysis,No,5,Bio-Medical Sciences
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Physics,8,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Maybe,Mathematical skills,Leadership skills,No,5,Civil Engineering
Strong job prospects and career opportunities,Researching future career opportunities,Unknown,6,Somewhat important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Neutral,Yes,Researching skills,Leadership skills,No,8,Computer Science
Strong job prospects and career opportunities,Personal experience or hobby,Mathematics,6,Somewhat not important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Mathematical skills,Data analysis,No,3,Mathematics with finance
Passion for the subject,Inspired by a teacher or mentor,Mathematics,6,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Data analysis,Computer Science,1,Mathematics
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Physics,2,Extremely important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Maybe,Mathematical skills,Leadership skills,No,10,Civil Engineering
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,4,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,No,technical skills,Leadership skills,No,8,Chemistry
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,7,Extremely important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,No,Researching skills,Data analysis,No,2,Chemistry
Strong job prospects and career opportunities,Researching future career opportunities,Biology,9,Extremely important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Yes,Problem-solving,Ethical reasoning,Computer Science,9,Pharmacy
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Mathematics,1,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A collaborative, group-based learning experience",Extremely interested,Maybe,Mathematical skills,Data analysis,Physics,10,Mathematics
Influence of family or friends,Inspired by a teacher or mentor,Chemistry,2,Somewhat important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,A mix of both theory and practice,Extremely interested,No,Problem-solving,Ethical reasoning,Dentistry,1,Pharmacy
Strong job prospects and career opportunities,"Exposure through media (books, TV, etc.)",Computer Science,10,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,technical skills,Lab work,No,3,Artificial Intelligence
Passion for the subject,Inspired by a teacher or mentor,Mathematics,10,Extremely not important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,No,Mathematical skills,Data analysis,No,5,Mathematics
Passion for the subject,"No clear reason, just interested in the subject",Biology,2,Neutral,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,No,Researching skills,Data analysis,Biology,9,Bio Chemistry
Passion for the subject,Inspired by a teacher or mentor,Business,4,Neutral,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"Self-paced, independent learning",Somewhat interested,Maybe,technical skills,Lab work,No,1,Computer Science
Passion for the subject,Researching future career opportunities,Computer Engineering,2,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,"A collaborative, group-based learning experience",Extremely interested,Yes,technical skills,Lab work,Artificial Intelligence,7,Software Engineering
Strong job prospects and career opportunities,Researching future career opportunities,Unknown,10,Somewhat important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Neutral,No,Researching skills,Leadership skills,No,2,Computer Science
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,5,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Ethical reasoning,No,10,Computer Science
Passion for the subject,Personal experience or hobby,Biology,5,Somewhat not important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Neutral,Yes,Researching skills,Data analysis,No,7,Bio-Medical Sciences
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Mathematics,3,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A collaborative, group-based learning experience",Extremely interested,Maybe,Mathematical skills,Data analysis,Physics,3,Mathematics
Passion for the subject,Personal experience or hobby,Mathematics,3,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A collaborative, group-based learning experience",Extremely interested,No,Mathematical skills,Leadership skills,No,6,Mathematics
Interest in learning new skills,Researching future career opportunities,Biology,1,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Researching skills,Lab work,Medicine,9,Bio-Medical Sciences
Passion for the subject,Personal experience or hobby,Physics,3,Somewhat important,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Yes,technical skills,Lab work,Chemical Engineering,6,Civil Engineering
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,6,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Maybe,Researching skills,Data analysis,No,5,Chemistry
Passion for the subject,"Exposure through media (books, TV, etc.)",Physics,5,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,No,technical skills,Lab work,Software Engineering,10,Physics
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Biology,3,Extremely important,Develop transferable skills for various job sectors,I spoke with academic advisors or professors,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Lab work,No,8,Bio-Medical Sciences
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Biology,5,Extremely important,Secure a job in a specific industry or field,I spoke with academic advisors or professors,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Lab work,No,3,Bio-Medical Sciences
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,10,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,No,Problem-solving,Ethical reasoning,Chemistry,10,Pharmacy
Strong job prospects and career opportunities,Researching future career opportunities,Unknown,3,Somewhat important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Neutral,Yes,Researching skills,Leadership skills,No,2,Computer Science
Passion for the subject,Personal experience or hobby,Physics,1,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,No,technical skills,Lab work,Chemical Engineering,8,Civil Engineering
High earning potential after graduation,Researching future career opportunities,Biology,9,Somewhat important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,4,Pharmacy
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,8,Neutral,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Researching skills,Data analysis,Biology,6,Bio Chemistry
Passion for the subject,Personal experience or hobby,Mathematics,5,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"A collaborative, group-based learning experience",Extremely interested,Maybe,Mathematical skills,Leadership skills,No,1,Mathematics
Influence of family or friends,Inspired by a teacher or mentor,Chemistry,8,Somewhat important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,A mix of both theory and practice,Extremely interested,No,Problem-solving,Ethical reasoning,Dentistry,2,Pharmacy
Interest in learning new skills,Inspired by a teacher or mentor,Information Technology,10,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Data analysis,Psychology,7,Software Engineering
High earning potential after graduation,"Exposure through media (books, TV, etc.)",Mathematics,3,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Problem-solving,Data analysis,Economics,3,Computer Science
Passion for the subject,"Exposure through media (books, TV, etc.)",Physics,5,Somewhat important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Extremely interested,Maybe,Mathematical skills,Lab work,Mechanical Engineering,10,Physics
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,7,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,No,Researching skills,Data analysis,No,10,Chemistry
Interest in learning new skills,Personal experience or hobby,Biology,10,Neutral,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A theoretical, lecture-based approach with in-depth learning",Extremely interested,No,Researching skills,Data analysis,Zoology,5,Biology
Passion for the subject,Researching future career opportunities,Mathematics,7,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,Yes,Mathematical skills,Lab work,Teaching,1,Civil Engineering
Passion for the subject,Inspired by a teacher or mentor,Computer Science,4,Neutral,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"Self-paced, independent learning",Somewhat interested,Maybe,technical skills,Lab work,No,9,Computer Science
Interest in learning new skills,Researching future career opportunities,Biology,6,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,No,Researching skills,Lab work,Medicine,3,Bio-Medical Sciences
Interest in learning new skills,Researching future career opportunities,Biology,1,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,No,Researching skills,Lab work,Medicine,8,Bio-Medical Sciences
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,2,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Leadership skills,No,1,Chemistry
Interest in learning new skills,"No clear reason, just interested in the subject",Information Technology,5,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Researching skills,Data analysis,Cyber Security,5,Computer Science
Passion for the subject,"No clear reason, just interested in the subject",Applied Science,9,Neutral,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,technical skills,Lab work,No,8,Biology
Strong job prospects and career opportunities,Career advice or guidance,Mathematics,7,Somewhat important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,No,Mathematical skills,Ethical reasoning,Astronomy,5,Mechanical Engineering
Strong job prospects and career opportunities,Personal experience or hobby,Mathematics,8,Extremely important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,"Self-paced, independent learning",Extremely interested,Yes,Problem-solving,Ethical reasoning,Law,8,Computer Science
Passion for the subject,"No clear reason, just interested in the subject",Biology,5,Somewhat important,Pursue further study or research in the field,I considered the course prerequisites and my academic background,A mix of both theory and practice,Somewhat interested,No,Researching skills,Data analysis,Biology,1,Zoology
Passion for the subject,"Exposure through media (books, TV, etc.)",Applied Science,10,Extremely important,Secure a job in a specific industry or field,I researched online and talked to current students,"A theoretical, lecture-based approach with in-depth learning",Extremely interested,Maybe,Problem-solving,Data analysis,Artificial Intelligence,1,Computer Science
Interest in learning new skills,"No clear reason, just interested in the subject",Biology,8,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Maybe,Researching skills,Data analysis,Biology,3,Bio Chemistry
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,5,Extremely important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,technical skills,Leadership skills,No,3,Chemistry
Passion for the subject,Researching future career opportunities,Computer Engineering,5,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,"A collaborative, group-based learning experience",Extremely interested,Yes,technical skills,Lab work,Artificial Intelligence,5,Software Engineering
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Mathematics,2,Extremely important,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A collaborative, group-based learning experience",Extremely interested,Maybe,Mathematical skills,Data analysis,Physics,4,Mathematics
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Biology,10,Extremely important,Secure a job in a specific industry or field,I spoke with academic advisors or professors,A mix of both theory and practice,Somewhat interested,Yes,Problem-solving,Lab work,No,8,Bio-Medical Sciences
Strong job prospects and career opportunities,"Exposure through media (books, TV, etc.)",Software Engineering,3,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Extremely interested,No,technical skills,Lab work,No,1,Artificial Intelligence
Passion for the subject,Personal experience or hobby,Biology,5,Somewhat important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Maybe,Problem-solving,Lab work,Psychology,7,Pharmacy
Passion for the subject,Researching future career opportunities,Physics,8,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,Yes,Mathematical skills,Lab work,Teaching,9,Civil Engineering
Passion for the subject,Personal experience or hobby,Biology,10,Somewhat not important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Neutral,Maybe,Researching skills,Data analysis,No,3,Bio-Medical Sciences
High earning potential after graduation,Career advice or guidance,Mathematics,5,Neutral,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Problem-solving,Lab work,No,3,Software Engineering
Passion for the subject,Personal experience or hobby,Mathematics,2,Extremely important,Develop transferable skills for various job sectors,I considered the course prerequisites and my academic background,"A collaborative, group-based learning experience",Extremely interested,Yes,Mathematical skills,Leadership skills,No,8,Mathematics
Strong job prospects and career opportunities,Personal experience or hobby,Mathematics,8,Somewhat not important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,Yes,Mathematical skills,Data analysis,No,10,Mathematics with finance
Strong job prospects and career opportunities,"No clear reason, just interested in the subject",Chemistry,8,Neutral,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Maybe,Problem-solving,Leadership skills,Medicine,8,Pharmacy
Interest in learning new skills,"No clear reason, just interested in the subject",Chemistry,2,Somewhat important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,No,Researching skills,Data analysis,Biology,6,Bio Chemistry
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,5,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,No,Problem-solving,Ethical reasoning,No,6,Computer Science
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,8,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,No,technical skills,Leadership skills,No,6,Chemistry
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Mathematics,10,Extremely important,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A collaborative, group-based learning experience",Extremely interested,Maybe,Mathematical skills,Data analysis,Physics,2,Mathematics
Interest in learning new skills,"No clear reason, just interested in the subject",Information Technology,3,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Researching skills,Data analysis,Cyber Security,8,Computer Science
Passion for the subject,Inspired by a teacher or mentor,Mathematics,4,Extremely not important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Mathematical skills,Data analysis,No,9,Mathematics
Passion for the subject,Researching future career opportunities,Mathematics,2,Extremely important,Develop transferable skills for various job sectors,I researched online and talked to current students,A mix of both theory and practice,Somewhat interested,No,Mathematical skills,Lab work,Teaching,2,Civil Engineering
Passion for the subject,Personal experience or hobby,Physics,6,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,No,technical skills,Lab work,Chemical Engineering,2,Civil Engineering
Passion for the subject,"No clear reason, just interested in the subject",Biology,4,Neutral,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,Researching skills,Data analysis,Biology,4,Bio Chemistry
Strong job prospects and career opportunities,Career advice or guidance,Mathematics,3,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Extremely interested,No,Mathematical skills,Ethical reasoning,Astronomy,10,Mechanical Engineering
Strong job prospects and career opportunities,Personal experience or hobby,Chemistry,9,Extremely important,Pursue further study or research in the field,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,technical skills,Leadership skills,No,7,Chemistry
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,3,Extremely important,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,Maybe,Problem-solving,Ethical reasoning,No,10,Computer Science
Strong job prospects and career opportunities,Researching future career opportunities,Physics,9,Somewhat important,Secure a job in a specific industry or field,I assumed it would be manageable based on my interests and strengths,A mix of both theory and practice,Extremely interested,Yes,Problem-solving,Data analysis,Sustainability Engineering,6,Mechanical Engineering
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,6,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Extremely interested,Yes,Researching skills,Data analysis,No,1,Chemistry
Passion for the subject,"No clear reason, just interested in the subject",Chemistry,7,Neutral,Secure a job in a specific industry or field,I didn’t think about it much; I just went for it,"A hands-on, practical approach with real-world applications",Somewhat interested,Yes,Researching skills,Data analysis,Biology,10,Bio Chemistry
High earning potential after graduation,Inspired by a teacher or mentor,Information Technology,7,Extremely important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,A mix of both theory and practice,Somewhat interested,No,Problem-solving,Ethical reasoning,No,10,Computer Science
Passion for the subject,Inspired by a teacher or mentor,Mathematics,1,Extremely not important,Pursue further study or research in the field,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Mathematical skills,Data analysis,No,3,Mathematics
Strong job prospects and career opportunities,Inspired by a teacher or mentor,Mathematics,9,Extremely important,Secure a job in a specific industry or field,I considered the course prerequisites and my academic background,"A hands-on, practical approach with real-world applications",Somewhat interested,Maybe,Mathematical skills,Lab work,Electrical Engineering,1,Mechanical Engineering
Interest in learning new skills,"No clear reason, just interested in the subject",Information Technology,6,Somewhat important,Develop transferable skills for various job sectors,I didn’t think about it much; I just went for it,"A theoretical, lecture-based approach with in-depth learning",Somewhat interested,Yes,Researching skills,Data analysis,Cyber Security,9,Computer Science
Passion for the subject,Personal experience or hobby,Physics,6,Somewhat important,Develop transferable skills for various job sectors,I assumed it would be manageable based on my interests and strengths,"A hands-on, practical approach with real-world applications",Neutral,Yes,technical skills,Lab work,Chemical Engineering,3,Civil Engineering
